Episode,Loss,Average Reward,Winner,Epsilon,Cumulative Reward End Game
1,0.06823708292310281,428.6666666666667,1,0.5185893309484582,82304
2,0.006627358544695501,131.72941176470587,1,0.3403786882983606,11197
3,0.005201108386730388,369.625,2,0.27853872940185365,14785
4,0.004177632967184763,54.49193548387097,1,0.15035730121053842,6757
5,0.004975094897114711,81.98076923076923,1,0.11643985070121858,4263
6,0.0009047133285397043,430.528,1,0.06254083169574957,53816
7,0.004174793049181365,440.83076923076925,2,0.0451506389749415,28654
8,0.005143284020778083,173.92910447761193,1,0.01184203826198843,46613
9,0.004039471139428012,172.6,2,0.010447285872500434,4315
10,0.003936707180582743,434.4146341463415,2,0.0069262170922646605,35622
11,0.003673829772681832,528.7777777777778,1,0.00555535290202029,23795
12,0.00237456571006381,374.2121212121212,2,0.0039905704453269296,24698
13,0.003039921932577272,510.62068965517244,2,0.003450677113448521,14808
14,0.006236345539279379,239.32,1,0.0026992013344586513,11966
15,0.0035242619038399424,388.17735849056606,2,0.0009954703940636294,102867
16,0.004800328994254717,582.6881720430108,2,0.0009954703940636294,108380
17,0.0037032392427742405,569.7307692307693,2,0.0009954703940636294,14813
18,0.0033774546267522965,461.8679245283019,2,0.0009954703940636294,24479
19,0.0023231534786949245,341.5121951219512,2,0.0009954703940636294,14002
20,0.0045902351606855515,209.84444444444443,2,0.0009954703940636294,18886
21,0.003488449121505255,584.7916666666666,1,0.0009954703940636294,28070
22,0.0012345638639089883,595.0869565217391,2,0.0009954703940636294,27374
23,0.0033857588190585376,303.4166666666667,2,0.0009954703940636294,3641
24,0.0033497997636610915,214.4950495049505,2,0.0009954703940636294,21664
25,0.0024976013092479358,340.9736842105263,1,0.0009954703940636294,25914
26,0.0035174043475005115,51.1037037037037,1,0.0009954703940636294,6899
27,0.0045166514530743974,145.63636363636363,1,0.0009954703940636294,11214
28,0.0017685826820525107,253.16666666666666,1,0.0009954703940636294,9114
29,0.002875631904074301,185.5421686746988,2,0.0009954703940636294,15400
30,0.0021720489363967013,614.6829268292682,2,0.0009954703940636294,25202
31,0.0031317561193645814,103.54166666666667,2,0.0009954703940636294,4970
32,0.0010749326410708212,147.0,1,0.0009954703940636294,4998
33,0.002570936407513121,453.9642857142857,1,0.0009954703940636294,12711
34,0.0013622397373789378,349.70588235294116,1,0.0009954703940636294,29725
35,0.004170274802284742,195.14893617021278,2,0.0009954703940636294,9172
36,0.003908024919352707,562.0618181818181,1,0.0009954703940636294,154567
37,0.001976839739654679,279.44444444444446,1,0.0009954703940636294,5030
38,0.0036129557804088107,399.27450980392155,1,0.0009954703940636294,40726
39,0.0018568388809095874,479.1363636363636,1,0.0009954703940636294,10541
40,0.0022901771541000925,226.15384615384616,1,0.0009954703940636294,2940
41,0.002253474486496998,197.02777777777777,2,0.0009954703940636294,7093
42,0.0018679069091983062,435.11538461538464,2,0.0009954703940636294,11313
43,0.0006432106113303841,451.26277372262774,1,0.0009954703940636294,61823
44,0.003586556659138296,124.7843137254902,1,0.0009954703940636294,6364
45,0.0024731339858287053,279.1304347826087,1,0.0009954703940636294,6420
46,0.001899162798630035,482.94642857142856,1,0.0009954703940636294,54090
47,0.004070545046912836,314.30434782608694,1,0.0009954703940636294,43374
48,0.0007762403166755879,540.1666666666666,2,0.0009954703940636294,16205
49,0.003139455572636507,56.895348837209305,2,0.0009954703940636294,4893
50,0.0010351551352869137,166.22779922779924,2,0.0009954703940636294,43053
51,0.002790403928762923,453.92857142857144,2,0.0009954703940636294,6355
52,0.0020789143888881273,385.88709677419354,2,0.0009954703940636294,23925
53,0.0021612594508042095,380.2391304347826,2,0.0009954703940636294,17491
54,0.0035705537201768797,613.4464285714286,2,0.0009954703940636294,34353
55,0.002151407813410818,168.43103448275863,1,0.0009954703940636294,9769
56,0.001834308723603802,157.81333333333333,1,0.0009954703940636294,11836
57,0.0005863511811185163,342.3939393939394,2,0.0009954703940636294,11299
58,0.0019532333805424664,214.7391304347826,1,0.0009954703940636294,4939
59,0.0022741831107850885,344.0744680851064,1,0.0009954703940636294,32343
60,0.0005020750366384163,213.01694915254237,1,0.0009954703940636294,12568
61,0.0037984839971007506,456.2962962962963,2,0.0009954703940636294,24640
62,0.004086246335646138,138.65853658536585,2,0.0009954703940636294,5685
63,0.001862599160267564,483.1636363636364,2,0.0009954703940636294,26574
64,0.00216927925375785,102.75308641975309,1,0.0009954703940636294,8323
65,0.002586603337537478,298.2340425531915,1,0.0009954703940636294,42051
66,0.0023067078660460537,171.0,2,0.0009954703940636294,7695
67,0.004070661748968026,657.67,1,0.0009954703940636294,65767
68,0.002008801385757882,118.16666666666667,2,0.0009954703940636294,2836
69,0.002538035248956779,224.5909090909091,1,0.0009954703940636294,4941
70,0.00355286317953869,353.49367088607596,2,0.0009954703940636294,27926
71,0.00029744460801642465,382.3333333333333,2,0.0009954703940636294,5735
72,0.003413767348744538,423.6666666666667,1,0.0009954703940636294,6355
73,0.0006153900475813619,140.8695652173913,1,0.0009954703940636294,16200
74,0.0017160653251266922,427.625,2,0.0009954703940636294,58157
75,0.0021737426998394466,95.7127659574468,2,0.0009954703940636294,8997
76,0.0019177515914634569,318.1136363636364,1,0.0009954703940636294,13997
77,0.0016961760222936088,156.01481481481483,1,0.0009954703940636294,21062
78,0.003375286513013028,230.03196347031962,1,0.0009954703940636294,50377
79,0.003348697811391806,204.9512195121951,1,0.0009954703940636294,8403
80,0.003299868771500769,666.3796296296297,2,0.0009954703940636294,71969
81,0.00336210265589519,514.1666666666666,2,0.0009954703940636294,15425
82,0.004797171879605836,247.58823529411765,1,0.0009954703940636294,8418
83,0.0031581640578224324,360.36315789473684,2,0.0009954703940636294,68469
84,0.0037067950772325274,266.7473684210526,1,0.0009954703940636294,25341
85,0.001771352820105676,546.4090909090909,2,0.0009954703940636294,12021
86,0.0017789539885294896,353.25,2,0.0009954703940636294,5652
87,0.0015776051698291364,153.92857142857142,1,0.0009954703940636294,4310
88,0.0004481200555043567,247.58130081300814,2,0.0009954703940636294,60905
89,0.0018077002209489971,100.27586206896552,1,0.0009954703940636294,2908
90,0.0019074824904237175,387.175,1,0.0009954703940636294,15487
91,0.0015004501191166733,249.08064516129033,2,0.0009954703940636294,15443
92,0.003034346564830533,637.0,2,0.0009954703940636294,35672
