Episode,Loss,Average Reward,Winner,Epsilon,Cumulative Reward End Game
1,0.08890801049613704,602.4367816091954,2,0.8734200960253871,52412
2,0.005034155268610145,166.86666666666667,1,0.7552531090661897,5006
3,0.006820971040482012,416.9423076923077,1,0.5848838636585911,21681
4,0.005631079474915169,508.6,2,0.5159963842937159,12715
5,0.007056232780450955,510.58620689655174,2,0.446186062443672,14807
6,0.005661328544010758,418.9259259259259,2,0.3897078735047413,11311
7,0.00826345180660913,551.0,2,0.3386767948568688,15428
8,0.004478860401043979,562.0178571428571,1,0.2570720625972084,31473
9,0.005039920376778658,103.27777777777777,1,0.19709615934585656,5577
10,0.005137644225518064,72.64583333333333,2,0.1549480222912372,3487
11,0.00249416485967231,104.2751677852349,1,0.03496560272750046,31074
12,0.004042991363166948,127.24468085106383,1,0.021937519923982282,11961
13,0.003923124298914142,368.6666666666667,2,0.019745685882295267,7742
14,0.006666398230906149,52.1271186440678,1,0.01098430721937979,6151
15,0.004473657656156623,378.29411764705884,2,0.010087070213020206,6431
16,0.00380714327111491,145.07692307692307,2,0.006392421325853387,13202
17,0.0037192739760636565,401.3888888888889,1,0.003738824083198702,43350
18,0.0036808315510218864,128.30612244897958,1,0.002939293182115807,6287
19,0.00516089099188927,183.488,1,0.001578719305290601,22936
20,0.0023896735984029267,80.3623188405797,2,0.001117113991386887,5545
21,0.0033629031554482935,65.60377358490567,2,0.0009954703940636294,3477
22,0.0023374685652621944,126.98360655737704,1,0.0009954703940636294,7746
23,0.004387882514492958,153.89285714285714,2,0.0009954703940636294,4309
24,0.0042824078548013254,88.928,2,0.0009954703940636294,11116
25,0.0019258565119950313,665.4767441860465,2,0.0009954703940636294,57231
26,0.0030432406280851863,439.88461538461536,1,0.0009954703940636294,34311
27,0.003959978897394952,93.50306748466258,1,0.0009954703940636294,15241
28,0.002245046188363631,450.271186440678,1,0.0009954703940636294,26566
29,0.004599020860950986,233.0,1,0.0009954703940636294,23766
30,0.004488076062504357,380.90909090909093,2,0.0009954703940636294,29330
31,0.005491988589801622,207.92857142857142,2,0.0009954703940636294,23288
32,0.0038457379497837487,72.64583333333333,2,0.0009954703940636294,3487
33,0.0066711633199702195,552.8684210526316,1,0.0009954703940636294,21009
34,0.0053801075612076,106.77358490566037,2,0.0009954703940636294,5659
35,0.005657677640859522,494.9318181818182,2,0.0009954703940636294,21777
36,0.005069139915303822,89.88461538461539,1,0.0009954703940636294,7011
37,0.004722747616051492,605.0721649484536,2,0.0009954703940636294,58692
38,0.0035149232848198154,35.333333333333336,2,0.0009954703940636294,3392
39,0.005074912350695134,207.11764705882354,2,0.0009954703940636294,10563
40,0.0057920876986221025,268.13235294117646,1,0.0009954703940636294,18233
41,0.0036430032214108603,119.25,2,0.0009954703940636294,4293
42,0.0022653776981011713,64.38888888888889,1,0.0009954703940636294,3477
43,0.0018561458092942,280.0537634408602,2,0.0009954703940636294,26045
44,0.0037176360865790532,47.65686274509804,2,0.0009954703940636294,4861
45,0.0031884287029849173,384.8484848484849,1,0.0009954703940636294,12700
46,0.003192132755611965,536.5526315789474,2,0.0009954703940636294,20389
47,0.002883218092392781,379.1794871794872,1,0.0009954703940636294,14788
48,0.0014932486850436058,305.85714285714283,2,0.0009954703940636294,6423
49,0.004565953601255993,349.9318181818182,2,0.0009954703940636294,15397
50,0.005102700478710176,51.492537313432834,2,0.0009954703940636294,3450
51,0.005389905215391385,408.6666666666667,2,0.0009954703940636294,14712
52,0.00036374974397404005,181.3,1,0.0009954703940636294,3626
53,0.0031414647938618145,531.35,1,0.0009954703940636294,10627
54,0.0021760199763775747,291.8134328358209,1,0.0009954703940636294,39103
55,0.0024904462580101,186.3146853146853,2,0.0009954703940636294,26643
56,0.006593726829911854,197.22222222222223,1,0.0009954703940636294,3550
57,0.007666272578990174,626.5263157894736,2,0.0009954703940636294,23808
58,0.007301613017534692,369.4339622641509,1,0.0009954703940636294,19580
59,0.0033230344299226998,87.575,2,0.0009954703940636294,3503
60,0.004581236709933971,484.4375,1,0.0009954703940636294,15502
61,0.0054604192233152085,344.9011627906977,1,0.0009954703940636294,59323
62,0.004645755137365389,306.60919540229884,1,0.0009954703940636294,26675
63,0.0027969588940322866,254.47727272727272,1,0.0009954703940636294,11197
64,0.005002234936758517,342.03225806451616,2,0.0009954703940636294,10603
65,0.00700161361313197,522.5263157894736,2,0.0009954703940636294,9928
66,0.002408947262150226,52.71641791044776,1,0.0009954703940636294,3532
67,0.0038837957111051463,139.1904761904762,2,0.0009954703940636294,2923
68,0.004243366996373273,453.5208333333333,2,0.0009954703940636294,21769
69,0.006221331962327288,333.1388888888889,2,0.0009954703940636294,11993
70,0.004462192804476217,384.8484848484849,2,0.0009954703940636294,12700
71,0.004448919829913697,179.83663366336634,1,0.0009954703940636294,36327
72,0.0038535979039503823,542.7272727272727,2,0.0009954703940636294,11940
73,0.00589916653968127,377.68,2,0.0009954703940636294,18884
74,0.003293035215998922,537.1395348837209,2,0.0009954703940636294,23097
75,0.005277450553967356,273.61538461538464,2,0.0009954703940636294,3557
76,0.004796690466658523,396.6185567010309,1,0.0009954703940636294,38472
77,1.8603392660133673,324.13513513513516,1,0.0009954703940636294,11993
78,0.007121380477625886,224.91489361702128,2,0.0009954703940636294,10571
79,0.0029456194368322032,629.2285714285714,1,0.0009954703940636294,44046
80,0.009421038991483026,502.54545454545456,1,0.0009954703940636294,49752
81,0.00521379084120781,141.32,2,0.0009954703940636294,3533
82,0.0061196219032657005,151.6216216216216,1,0.0009954703940636294,11220
83,0.003088643998914146,342.7142857142857,2,0.0009954703940636294,11995
84,1.6136856930294925,603.34,1,0.0009954703940636294,30167
85,0.006139163296575134,399.9492753623188,1,0.0009954703940636294,55193
86,1.4612393917801758,48.776785714285715,1,0.0009954703940636294,5463
87,0.005103592748946539,435.34,1,0.0009954703940636294,21767
88,0.00660657559513614,187.10204081632654,2,0.0009954703940636294,9168
89,1.3598350561930905,284.48936170212767,2,0.0009954703940636294,13371
90,1.2795819362243188,315.83098591549293,1,0.0009954703940636294,22424
91,0.0076006965662903285,395.77272727272725,2,0.0009954703940636294,17414
92,1.1994357438830776,190.2,2,0.0009954703940636294,2853
93,1.1270169180730893,65.67857142857143,1,0.0009954703940636294,5517
94,0.0015895390189143654,305.9047619047619,1,0.0009954703940636294,6424
